2025-01-01T02:03:20.925014  17224	18.938	18.958	23.451	23.128	18.293	27.480	24.337	23.853	21.597	30.945	50.221	50.323	23.487	2685.813	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:03:22.124992  17225	19.018	18.964	23.370	22.886	18.454	27.238	24.498	23.370	21.597	31.106	50.215	50.161	23.568	2670.771	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:03:23.325148  17226	19.018	18.969	23.209	23.128	18.212	27.560	24.337	23.853	21.516	31.026	50.218	50.081	23.487	2657.379	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:03:24.525080  17227	18.857	18.958	23.289	23.048	18.374	27.399	24.256	23.853	21.516	31.026	50.204	50.161	23.649	2686.044	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:03:25.725129  17228	18.938	18.956	23.209	23.128	18.374	27.158	24.579	23.531	21.355	30.945	50.216	50.323	23.487	2691.256	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:03:26.925418  17229	19.179	18.978	22.886	23.048	18.454	27.319	24.579	23.612	21.436	31.106	50.202	50.323	23.487	2635.058	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:03:28.125328  17230	19.099	18.990	23.370	22.967	18.293	27.480	24.498	23.773	21.597	31.106	50.190	50.323	23.568	2605.204	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:03:29.325446  17231	19.179	19.009	23.128	22.967	18.212	27.319	24.498	23.451	21.597	31.026	50.187	50.242	23.568	2557.742	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:03:30.525303  17232	19.018	19.010	23.451	23.128	18.293	27.238	24.418	23.451	21.436	30.703	50.185	50.242	23.649	2555.790	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:03:31.725331  17233	19.099	19.019	23.048	22.967	18.293	27.399	24.418	23.451	21.758	31.106	50.182	50.242	23.326	2533.333	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:03:32.925567  17234	19.018	19.019	23.370	22.886	18.212	27.319	24.418	23.773	21.597	31.106	50.180	50.242	23.568	2533.579	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:03:34.125476  17235	18.857	19.003	23.209	23.289	18.374	27.641	24.740	23.289	21.597	31.106	50.186	50.242	23.729	2574.350	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:03:35.325658  17236	19.099	19.012	23.128	23.048	18.454	27.399	24.418	23.692	21.597	31.267	50.192	50.323	23.568	2549.734	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:03:36.525696  17237	19.018	19.013	23.289	23.209	18.374	27.399	24.579	23.451	21.597	31.106	50.197	50.000	23.487	2548.354	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:03:37.725554  17238	18.857	18.997	23.289	23.289	18.293	27.399	24.659	23.934	21.919	31.106	50.193	50.242	23.729	2587.667	0	0	0	0.00	-135.000	-135.000	225.000	36.527
