DATE(YYYYMMDD),START TIME(HHMMSS.Microsec),END TIME(HHMMSS.Microsec),TIME PASSED (sec),PWV TOTAL zenith,PWV TOTAL line-of-sight,zenith angle,standard_deviation_of_residuals,Nscale_troposphere_h2o
20260210,130503.208674,130503.208674,0.0,824.784 um_pwv,1006.88 um_pwv,35.0,2.09 K,1.94383
20260210,130504.167775,130504.167775,0.0,823.392 um_pwv,1005.18 um_pwv,35.0,2.242 K,1.94054
20260210,130505.126998,130505.126998,0.0,826.353 um_pwv,1008.79 um_pwv,35.0,2.197 K,1.94753
20260210,130506.089977,130506.089977,0.0,830.413 um_pwv,1013.75 um_pwv,35.0,2.389 K,1.95713
20260210,130507.043514,130507.043514,0.0,830.834 um_pwv,1014.26 um_pwv,35.0,2.358 K,1.95812
20260210,130508.004953,130508.004953,0.0,832.228 um_pwv,1015.96 um_pwv,35.0,2.443 K,1.96141
20260210,130508.963266,130508.963266,0.0,835.202 um_pwv,1019.59 um_pwv,35.0,2.431 K,1.96844
20260210,130509.928172,130509.928172,0.0,835.965 um_pwv,1020.53 um_pwv,35.0,2.289 K,1.97025
20260210,130510.889002,130510.889002,0.0,836.555 um_pwv,1021.24 um_pwv,35.0,2.228 K,1.97164
20260210,130511.849446,130511.849446,0.0,836.947 um_pwv,1021.72 um_pwv,35.0,2.163 K,1.97257
20260210,130512.809775,130512.809775,0.0,837.68 um_pwv,1022.62 um_pwv,35.0,2.007 K,1.97430
20260210,130513.768347,130513.768347,0.0,838.558 um_pwv,1023.69 um_pwv,35.0,1.878 K,1.97637
20260210,130514.725856,130514.725856,0.0,838.817 um_pwv,1024.01 um_pwv,35.0,1.882 K,1.97699
20260210,130515.685141,130515.685141,0.0,838.238 um_pwv,1023.3 um_pwv,35.0,1.821 K,1.97562
20260210,130516.655732,130516.655732,0.0,840.777 um_pwv,1026.4 um_pwv,35.0,1.919 K,1.98162
20260210,130517.609994,130517.609994,0.0,842.229 um_pwv,1028.17 um_pwv,35.0,1.946 K,1.98505
20260210,130518.564718,130518.564718,0.0,844.093 um_pwv,1030.45 um_pwv,35.0,1.944 K,1.98945
20260210,130519.524929,130519.524929,0.0,845.469 um_pwv,1032.13 um_pwv,35.0,2.034 K,1.99271
20260210,130520.486109,130520.486109,0.0,846.378 um_pwv,1033.24 um_pwv,35.0,2.189 K,1.99486
20260210,130521.444232,130521.444232,0.0,847.131 um_pwv,1034.16 um_pwv,35.0,2.297 K,1.99663
20260210,130522.407871,130522.407871,0.0,849.38 um_pwv,1036.9 um_pwv,35.0,2.374 K,2.00195
20260210,130523.365745,130523.365745,0.0,848.26 um_pwv,1035.53 um_pwv,35.0,2.317 K,1.99930
20260210,130524.324626,130524.324626,0.0,847.621 um_pwv,1034.75 um_pwv,35.0,2.331 K,1.99779
